,Country,Currency,Exchange_Rate,Effective Date
0,AFGHANISTAN,Afghani,67.33,2025-09-30
1,ALBANIA,Lek,82.2,2025-09-30
2,ALGERIA,Dinar,129.248,2025-09-30
3,ANGOLA,Kwanza,911.978,2025-09-30
4,ANTIGUA & BARBUDA,East Caribbean Dollar,2.7,2025-09-30
5,ARGENTINA,Peso,1380.0,2025-09-30
6,ARMENIA,Dram,380.0,2025-09-30
7,AUSTRALIA,Dollar,1.513,2025-09-30
8,AZERBAIJAN,Manat,1.7,2025-09-30
9,BAHAMAS,Dollar,1.0,2025-09-30
10,BAHRAIN,Dinar,0.377,2025-09-30
11,BANGLADESH,Taka,123.0,2025-09-30
12,BARBADOS,Dollar,2.02,2025-09-30
13,BELARUS,New Ruble,3.025,2025-09-30
14,BELIZE,Dollar,2.0,2025-09-30
15,BENIN,Cfa Franc,555.75,2025-09-30
16,BERMUDA,Dollar,1.0,2025-09-30
17,BOLIVIA,Boliviano,6.86,2025-09-30
18,BOSNIA,Marka,1.666,2025-09-30
19,BOTSWANA,Pula,13.947,2025-09-30
20,BOTSWANA,Pula,12.361,2025-10-15
21,BRAZIL,Real,5.322,2025-09-30
22,BRUNEI,Dollar,1.29,2025-09-30
23,BULGARIA,Lev New,1.666,2025-09-30
24,BURKINA FASO,Cfa Franc,555.75,2025-09-30
25,BURUNDI,Franc,3000.0,2025-09-30
26,CAMBODIA,Riel,4001.5,2025-09-30
27,CAMEROON,Cfa Franc,559.0,2025-09-30
28,CANADA,Dollar,1.392,2025-09-30
29,CAPE VERDE,Escudo,93.92,2025-09-30
30,CAYMAN ISLANDS,Dollar,0.82,2025-09-30
31,CENTRAL AFRICAN REPUBLIC,Cfa Franc,559.0,2025-09-30
32,CHAD,Cfa Franc,559.0,2025-09-30
33,CHILE,Peso,964.08,2025-09-30
34,CHINA,Renminbi,7.119,2025-09-30
35,COLOMBIA,Peso,3917.32,2025-09-30
36,COMOROS,Franc,419.67,2025-09-30
37,CONGO,Cfa Franc,559.0,2025-09-30
38,COSTA RICA,Colon,499.62,2025-09-30
39,COTE D'IVOIRE,Cfa Franc,555.75,2025-09-30
40,CUBA,Chavito,1.0,2025-09-30
41,CUBA,Peso,24.0,2025-09-30
42,CURACAO,Caribbean Guilder,1.78,2025-09-30
43,CZECH REPUBLIC,Koruna,20.176,2025-09-30
44,DEMOCRATIC REPUBLIC OF CONGO,Congolese Franc,2610.0,2025-09-30
45,DEMOCRATIC REPUBLIC OF CONGO,Congolese Franc,2237.7,2025-10-15
46,DENMARK,Krone,6.358,2025-09-30
47,DJIBOUTI,Franc,177.0,2025-09-30
48,DOMINICAN REPUBLIC,Peso,62.04,2025-09-30
49,ECUADOR,Dolares,1.0,2025-09-30
50,EGYPT,Pound,47.84,2025-09-30
51,EL SALVADOR,Dollar,1.0,2025-09-30
52,EQUATORIAL GUINEA,Cfa Franc,559.0,2025-09-30
53,ERITREA,Nakfa,15.0,2025-09-30
54,ESWATINI,Lilangeni,17.269,2025-09-30
55,ETHIOPIA,Birr,144.664,2025-09-30
56,EURO ZONE,Euro,0.852,2025-09-30
57,FIJI,Dollar,2.228,2025-09-30
58,GABON,Cfa Franc,559.0,2025-09-30
59,GAMBIA,Dalasi,72.0,2025-09-30
60,GEORGIA,Lari,2.697,2025-09-30
61,GHANA,Cedi,12.45,2025-09-30
62,GHANA,Cedi,10.88,2025-10-31
63,GRENADA,East Caribbean Dollar,2.7,2025-09-30
64,GUATEMALA,Quetzal,7.655,2025-09-30
65,GUINEA BISSAU,Cfa Franc,555.75,2025-09-30
66,GUINEA,Franc,8651.0,2025-09-30
67,GUYANA,Dollar,215.0,2025-09-30
68,HAITI,Gourde,130.354,2025-09-30
69,HONDURAS,Lempira,26.117,2025-09-30
70,HONG KONG,Dollar,7.78,2025-09-30
71,HUNGARY,Forint,332.44,2025-09-30
72,ICELAND,Krona,121.04,2025-09-30
73,INDIA,Rupee,88.796,2025-09-30
74,INDONESIA,Rupiah,16636.68,2025-09-30
75,IRAN,Rial,42000.0,2025-09-30
76,IRAQ,Dinar,1309.52,2025-09-30
77,ISRAEL,Shekel,3.301,2025-09-30
78,JAMAICA,Dollar,159.0,2025-09-30
79,JAPAN,Yen,148.0,2025-09-30
80,JORDAN,Dinar,0.708,2025-09-30
81,KAZAKHSTAN,Tenge,548.89,2025-09-30
82,KENYA,Shilling,128.9,2025-09-30
83,KOREA,Won,1404.05,2025-09-30
84,KUWAIT,Dinar,0.306,2025-09-30
85,KYRGYZSTAN,Som,87.45,2025-09-30
86,LAOS,Kip,21560.0,2025-09-30
87,LEBANON,Pound,89500.0,2025-09-30
88,LESOTHO,Maloti,17.269,2025-09-30
89,LIBERIA,Dollar,180.0,2025-09-30
90,LIBYA,Dinar,5.394,2025-09-30
91,MADAGASCAR,Ariary,4470.0,2025-09-30
92,MALAWI,Kwacha,1751.0,2025-09-30
93,MALAYSIA,Ringgit,4.206,2025-09-30
94,MALDIVES,Rufiyaa,15.42,2025-09-30
95,MALI,Cfa Franc,555.75,2025-09-30
96,MARSHALL ISLANDS,U.S. Dollar,1.0,2025-09-30
97,MAURITANIA,Ouguiya,39.81,2025-09-30
98,MAURITIUS,Rupee,45.51,2025-09-30
99,MEXICO,Peso,18.344,2025-09-30
100,MICRONESIA,U.S. Dollar,1.0,2025-09-30
101,MOLDOVA,Leu,16.57,2025-09-30
102,MONGOLIA,Tugrik,3595.0,2025-09-30
103,MOROCCO,Dirham,9.081,2025-09-30
104,MOZAMBIQUE,Metical,63.27,2025-09-30
105,MYANMAR,Kyat,3643.0,2025-09-30
106,NAMIBIA,Dollar,17.269,2025-09-30
107,NEPAL,Rupee,142.06,2025-09-30
108,NEW ZEALAND,Dollar,1.726,2025-09-30
109,NICARAGUA,Cordoba,36.6,2025-09-30
110,NIGER,Cfa Franc,555.75,2025-09-30
111,NIGERIA,Naira,1490.0,2025-09-30
112,NORWAY,Krone,9.983,2025-09-30
113,OMAN,Rial,0.385,2025-09-30
114,PAKISTAN,Rupee,282.18,2025-09-30
115,PALAU,Dollar,1.0,2025-09-30
116,PANAMA,Dolares,1.0,2025-09-30
117,PAPUA NEW GUINEA,Kina,4.179,2025-09-30
118,PARAGUAY,Guarani,7035.0,2025-09-30
119,PERU,Sol,3.477,2025-09-30
120,PHILIPPINES,Peso,58.218,2025-09-30
121,POLAND,Zloty,3.638,2025-09-30
122,QATAR,Riyal,3.64,2025-09-30
123,REPUBLIC OF NORTH MACEDONIA,Denar,52.22,2025-09-30
124,ROMANIA,New Leu,4.327,2025-09-30
125,RUSSIA,Ruble,82.45,2025-09-30
126,RWANDA,Franc,1435.0,2025-09-30
127,SAO TOME & PRINCIPE,New Dobras,20.868,2025-09-30
128,SAUDI ARABIA,Riyal,3.75,2025-09-30
129,SENEGAL,Cfa Franc,555.75,2025-09-30
130,SERBIA,Dinar,99.74,2025-09-30
131,SEYCHELLES,Rupee,14.618,2025-09-30
132,SIERRA LEONE,Leone,22.85,2025-09-30
133,SINGAPORE,Dollar,1.29,2025-09-30
134,SOLOMON ISLANDS,Dollar,7.924,2025-09-30
135,SOMALI,Shilling,568.0,2025-09-30
136,SOUTH AFRICA,Rand,17.269,2025-09-30
137,SOUTH SUDAN,Sudanese Pound,4600.0,2025-09-30
138,SRI LANKA,Rupee,302.5,2025-09-30
139,ST. LUCIA,East Caribbean Dollar,2.7,2025-09-30
140,SUDAN,Pound,2400.0,2025-09-30
141,SURINAME,Dollar,37.45,2025-09-30
142,SWEDEN,Krona,9.418,2025-09-30
143,SWITZERLAND,Franc,0.798,2025-09-30
144,SYRIA,Pound,11000.0,2025-09-30
145,TAIWAN,Dollar,30.491,2025-09-30
146,TAJIKISTAN,Somoni,9.23,2025-09-30
147,TANZANIA,Shilling,2420.0,2025-09-30
148,THAILAND,Baht,32.41,2025-09-30
149,TIMOR,Leste-Dili,1.0,2025-09-30
150,TOGO,Cfa Franc,555.75,2025-09-30
151,TONGA,Pa'Anga,2.331,2025-09-30
152,TRINIDAD & TOBAGO,Dollar,6.756,2025-09-30
153,TUNISIA,Dinar,2.894,2025-09-30
154,TURKEY,New Lira,41.575,2025-09-30
155,TURKMENISTAN,New Manat,3.491,2025-09-30
156,UGANDA,Shilling,3485.0,2025-09-30
157,UKRAINE,Hryvnia,41.104,2025-09-30
158,UNITED ARAB EMIRATES,Dirham,3.673,2025-09-30
159,UNITED KINGDOM,Pound,0.744,2025-09-30
160,URUGUAY,Peso,39.9,2025-09-30
161,UZBEKISTAN,Som,12007.42,2025-09-30
162,VANUATU,Vatu,117.55,2025-09-30
163,VENEZUELA,Bolivar Soberano,177.17,2025-09-30
164,VENEZUELA,Bolivar Soberano,198.609,2025-10-15
165,VENEZUELA,Fuerte,248832.0,2025-09-30
166,VIETNAM,Dong,26425.0,2025-09-30
167,WESTERN SAMOA,Tala,2.686,2025-09-30
168,YEMEN,Rial,528.0,2025-09-30
169,ZAMBIA,New Kwacha,23.81,2025-09-30
170,ZIMBABWE,Gold,25.312,2025-09-30
